Country,Year and survey,Multidimensional Poverty Index Value,Population in mulitidmensional poverty(%),Population in mulitidmensional poverty head count (thosands),intensity of deprivation(%),People who are multidimensionally poor and deprived in Nutrition  (%),People who are multidimensionally poor and deprived in Child Mortality  (%),People who are multidimensionally poor and deprived in Years of schooling (%),People who are multidimensionally poor and deprived in School attendance (%),People who are multidimensionally poor and deprived in Cooking fuel  (%),People who are multidimensionally poor and deprived in Sanitation  (%),People who are multidimensionally poor and deprived in Drinking water (%),People who are multidimensionally poor and deprived in Electricity  (%),People who are multidimensionally poor and deprived in Housing  (%),People who are multidimensionally poor and deprived in Assets (%)
Philippines,0,0.0561867283398195,12.5727874237753,11654.8603515625,44.6891579774663,0.0,2.37492146966029,4.67457400119618,7.00772433627527,12.047138886011,8.80385778543419,4.32193279190168,7.68214646143651,9.99918831833996,8.98542293812974
Rwanda,2020,0.231001961923506,48.8224018738153,6379.0556640625,47.314747545716,23.0485364838999,3.3,28.9113524812413,7.95001605023338,48.7270282249287,24.8962955505856,34.8087141180278,36.5408956496398,44.4366751401205,36.8996447866115
Sao Tome and Principe,2009,0.184795492238589,40.7328714122461,72.4448394775391,45.3676565956583,17.443997227266,4.40088852948187,27.8324013083499,12.1235716064911,36.334788967502,35.0799620968916,16.789629198175,29.2934745994627,1.31241154588616,28.4190436066213
Senegal,0,0.381253272025439,64.2419270995527,7217.8837890625,59.3464874480848,30.1529576289605,18.969683783542,52.0856127800136,47.394210161144,52.7710380445824,32.3687609135721,34.8624244681051,49.1924655476542,33.8051574238796,37.4486501867348
Serbia,0,0.0007535567072669,0.17669187338191,13.0678911209106,42.6480682356054,0.08302024548183,0.05231312996555,0.09456889319956,0.06559462314315,0.17669187338191,0.06802758788978,0.04699199479386,0.04754981500501,0.06781662877694,0.06283349786207
Sierra Leone,0,0.409117486160722,74.05257014918,4971.927734375,55.24689897144,38.9876887465219,15.9447972917014,37.4222705009339,32.0309438263047,73.947358722079,69.7009759417509,45.7346381962202,71.1909971492409,57.6625049982707,45.0178989849902
Sudan,0,0.316627816299106,57.0011605762271,20186.619140625,55.5476086974901,28.8341453264822,7.41455866523908,31.3489609267407,29.2680341920236,50.0310978766649,50.9057686528913,40.6815763302804,48.3804776552385,56.8697347607989,32.4643167307751
Suriname,0,0.0588995209968136,12.7359478933757,66.8633422851562,46.2466724031186,7.2570785409199,0.0,6.99151659425701,2.21010492939407,6.01907728537748,7.51740856782056,5.29173768752708,4.28275671899385,5.14535205266862,6.61546966537647
Tajikistan,0,0.0492981564912028,12.1937997490686,977.221374511719,40.4288716443522,10.4614295325817,2.75088145477371,0.35562044661972,6.2807611396312,7.94165222018693,1.26210002963422,7.50566937462201,0.54784095021936,10.2633352767377,1.67000611191062
Tanzania,2016,0.28377500106672,57.0112231084141,30685.728515625,49.8,32.4790418356706,5.87221433092136,12.2709294529164,25.7,56.8224408310688,53.5639813417795,42.896255786201,55.1134819802283,47.3630396994404,26.1424648218356
Thailand,2016,0.004,0.93060293652656,659.423767089844,39.8205390360201,0.5,0.3,0.70848799027723,0.40820743078852,0.35098063831989,0.2,0.06432145790538,0.1,0.2,0.1341057871929
Timor-Leste,2010,0.361726651213228,69.6096822070282,755.041931152344,51.9649910392359,49.6526471593457,5.70431303834658,21.5250748935137,30.1448257921474,69.2667758066991,49.2843552641894,40.7611568186511,54.829732430802,61.4436520054849,54.4417172076162
Togo,2014,0.301,55.1,4119.43115234375,54.5,25.1,29.7,26.6092493531775,15.7,54.9,53.4,36.6,46.7704020285708,37.6,20.5615555331172
Trinidad and Tobago,0,0.0178857891113723,4.95645833173095,69.1417541503906,36.0858256325258,0.0,4.79045432944343,0.2695463553996,0.16345999699377,0.0101762331406,0.58486048985267,0.07233234102373,0.32899801435121,0.99216206209422,0.16414622616795
Tunisia,2012,0.0052685040995175,1.33054651884748,146.488464355469,39.5965419088171,0.63578783435482,0.19149114186825,1.06763729435063,0.51789285639817,0.23598687792382,0.65154703420562,0.61525629699638,0.17205534669094,0.11015536950521,0.45987907289067
Turkmenistan,2016,0.0037215098755215,1.06715116111145,67.8712539672852,34.8733151510184,0.92252903052848,1.02866149269759,0.0,0.21873338481651,0.0,0.1,0.02471467744011,0.0,0.03562158581968,0.0
Uganda,0,0.349064567032821,67.7251949960249,22589.4296875,51.5413159095828,42.2217656312586,9.72078286615009,29.3088276116128,15.1629795948786,67.3165651576761,60.2810279292306,51.390134902296,66.3572520900876,61.858266969391,31.8699064983684
Ukraine,0,0.0012953852019824,0.35543338930359,167.276901245117,36.4452311168776,0.0,0.27957611635074,0.06608565012627,0.04516176927492,0.12982935009652,0.05259967468915,0.02440805587444,0.00977162282658,0.05032475181941,0.05356095195413
Viet Nam,2021,0.007729394853574,1.91912052255357,1898.68383789062,40.3,0.0,0.53003367851775,1.29213815209704,0.59726201784592,1.46023458213434,1.30666371544024,0.45774942547611,0.09876043202138,1.17657668332869,0.56452331709218
Yemen,2023,0.188,37.4,14749.8642578125,50.2,27.8,4.3,13.1507230509812,22.522741382449,31.8754446860542,24.3007000104319,21.3,11.9700105975212,0.0,23.2587419736718
Zambia,2014,0.262656511599076,53.2957964362216,8471.53515625,49.2827819757593,31.265350148066,6.35916129614087,13.7107764667121,21.8289565950195,52.9876365731759,44.973351855415,35.3898051643975,50.5819163555073,44.1753868242022,25.1808905875774
Zimbabwe,2011,0.156441456194266,36.0941950664164,4907.15869140625,43.3425529801677,18.847091187339,4.19284298659072,4.44695318249537,8.1320899691257,35.4701949322867,29.5787714565386,23.6516779685255,34.285704336607,26.772935904004,24.9784045749058
